"Survey","taxa","family","LenMeasType","n_obs","n_taxa"
"EVHOE","Chimaera monstrosa","Chimaeridae",NA,1803,1
"EVHOE","Coelorinchus caelorhincus","Macrouridae",NA,1170,1
"EVHOE","Coryphaenoides rupestris","Macrouridae",NA,19,1
"EVHOE","Hymenocephalus italicus","Macrouridae",NA,4,1
"EVHOE","Macrourus berglax","Macrouridae",NA,16,1
"EVHOE","Malacocephalus laevis","Macrouridae",NA,726,1
"EVHOE","Nezumia aequalis","Macrouridae",NA,3,1
"EVHOE","Nezumia sclerorhynchus","Macrouridae",NA,1,1
"EVHOE","Trachyrincus scabrus","Macrouridae",NA,28,1
"EVHOE","Xenodermichthys copei","Alepocephalidae",NA,79,1
"IE-IGFS","Chimaera monstrosa","Chimaeridae",NA,240,1
"IE-IGFS","Chimaera opalescens","Chimaeridae",NA,10,1
"IE-IGFS","Coelorinchus caelorhincus","Macrouridae",NA,781,1
"IE-IGFS","Coelorinchus labiatus","Macrouridae",NA,8,1
"IE-IGFS","Coryphaenoides rupestris","Macrouridae",NA,98,1
"IE-IGFS","Hydrolagus mirabilis","Chimaeridae",NA,3,1
"IE-IGFS","Macrouridae","Macrouridae",NA,2,1
"IE-IGFS","Macrourus berglax","Macrouridae",NA,95,1
"IE-IGFS","Malacocephalus laevis","Macrouridae",NA,347,1
"IE-IGFS","Nezumia aequalis","Macrouridae",NA,12,1
"IE-IGFS","Trachyrincus murrayi","Macrouridae",NA,4,1
"IE-IGFS","Trachyrincus scabrus","Macrouridae",NA,18,1
"IE-IGFS","Xenodermichthys copei","Alepocephalidae",NA,8,1
"NS-IBTS","Chimaera monstrosa","Chimaeridae",3,22,1
"NS-IBTS","Chimaera monstrosa","Chimaeridae",NA,535,1
"NS-IBTS","Coelorinchus caelorhincus","Macrouridae",NA,3,1
"NS-IBTS","Coryphaenoides rupestris","Macrouridae",NA,6,1
"NS-IBTS","Malacocephalus laevis","Macrouridae",NA,1,1
"NS-IBTS","Trachyrincus murrayi","Macrouridae",NA,1,1
"PT-IBTS","Chimaera monstrosa","Chimaeridae",NA,93,1
"PT-IBTS","Coelorinchus caelorhincus","Macrouridae",NA,19,1
"PT-IBTS","Hymenocephalus italicus","Macrouridae",NA,1,1
"PT-IBTS","Malacocephalus laevis","Macrouridae",NA,47,1
"PT-IBTS","Nezumia bairdii","Macrouridae",NA,2,1
"PT-IBTS","Nezumia sclerorhynchus","Macrouridae",NA,3,1
"PT-IBTS","Trachyrincus scabrus","Macrouridae",NA,1,1
"ROCKALL","Chimaera monstrosa","Chimaeridae",NA,1496,1
"ROCKALL","Coelorinchus caelorhincus","Macrouridae",NA,209,1
"ROCKALL","Malacocephalus laevis","Macrouridae",NA,140,1
"SP-ARSA","Chimaera monstrosa","Chimaeridae",NA,6018,1
"SP-ARSA","Coelorinchus caelorhincus","Macrouridae",NA,158,1
"SP-ARSA","Hymenocephalus italicus","Macrouridae",NA,10,1
"SP-ARSA","Malacocephalus laevis","Macrouridae",NA,130,1
"SP-ARSA","Nezumia aequalis","Macrouridae",NA,119,1
"SP-NORTH","Chimaera monstrosa","Chimaeridae",NA,3179,1
"SP-NORTH","Coelorinchus caelorhincus","Macrouridae",NA,492,1
"SP-NORTH","Coryphaenoides rupestris","Macrouridae",NA,3,1
"SP-NORTH","Hymenocephalus italicus","Macrouridae",NA,6,1
"SP-NORTH","Malacocephalus laevis","Macrouridae",NA,814,1
"SP-NORTH","Nezumia aequalis","Macrouridae",NA,72,1
"SP-NORTH","Trachyrincus scabrus","Macrouridae",NA,13,1
"SP-NORTH","Xenodermichthys copei","Alepocephalidae",NA,25,1
"SP-PORC","Alepocephalidae","Alepocephalidae",NA,1,1
"SP-PORC","Alepocephalus bairdii","Alepocephalidae",NA,30,1
"SP-PORC","Alepocephalus rostratus","Alepocephalidae",NA,390,1
"SP-PORC","Chimaera monstrosa","Chimaeridae",NA,6765,1
"SP-PORC","Coelorinchus caelorhincus","Macrouridae",NA,10629,1
"SP-PORC","Coryphaenoides rupestris","Macrouridae",NA,209,1
"SP-PORC","Hydrolagus mirabilis","Chimaeridae",NA,423,1
"SP-PORC","Hymenocephalus italicus","Macrouridae",NA,109,1
"SP-PORC","Malacocephalus laevis","Macrouridae",NA,3250,1
"SP-PORC","Nezumia aequalis","Macrouridae",NA,2082,1
"SP-PORC","Sagamichthys schnakenbecki","Platytroctidae",NA,2,1
"SP-PORC","Searsia koefoedi","Platytroctidae",NA,1,1
"SP-PORC","Trachyrincus scabrus","Macrouridae",NA,3639,1
"SP-PORC","Xenodermichthys copei","Alepocephalidae",NA,589,1
"SWC-IBTS","Chimaera monstrosa","Chimaeridae",NA,847,1
"SWC-IBTS","Coelorinchus caelorhincus","Macrouridae",NA,357,1
"SWC-IBTS","Coryphaenoides rupestris","Macrouridae",NA,8,1
"SWC-IBTS","Macrourus berglax","Macrouridae",NA,11,1
"SWC-IBTS","Malacocephalus laevis","Macrouridae",NA,264,1
"SWC-IBTS","Xenodermichthys copei","Alepocephalidae",NA,1,1
